Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
548,South Sudan Medical Journal,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
549,Arab Journal of Nephrology and Transplantation,African Journal Online (AJOL),0,1,0,1,1,0,0,0,1,1,1,0
550,Sudan Journal of Medical Sciences,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
551,Sudanese Journal of Dermatology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
552,Journal de la Recherche Scientifique de l’Université de Lomé,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
553,Journal Tunisien d'ORL et de Chirurgie Cervico-Faciale,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
554,International Journal of Modern Anthropology,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
555,African Crop Science Journal,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
556,African Health Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
557,African Journal of Tropical Hydrobiology and Fisheries,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
558,East African Journal of Peace and Human Rights,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
559,East and Central African Journal of Surgery,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
560,Eastern Africa Journal of Rural Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
561,Journal of Interventional Epidemiology and Public Health,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
562,Journal of Science and Sustainable Development,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
563,Makerere Journal of Higher Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
564,Mtafiti Mwafrika (African Researcher),African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
565,Pan African Medical Journal,African Journal Online (AJOL),1,1,0,1,1,1,1,0,1,1,1,0
566,Uganda Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
567,Uganda Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
568,Journal of Science and Technology (Zambia),African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
569,Medical Journal of Zambia,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
570,African Journal of Social Work,African Journal Online (AJOL),1,1,0,1,1,1,1,0,1,1,1,0
571,Central African Journal of Medicine,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
572,JASSA: Journal of Applied Science in Southern Africa,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
573,Journal of Social Development in Africa,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
574,"Southern Africa Journal of Education, Science and Technology",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
575,Transactions of the Zimbabwe Scientific Association,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
576,Zambezia: The Journal of Humanities of the University of Zimbabwe,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
577,Zimbabwe Journal of Educational Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
578,Zimbabwe Journal of Technological Sciences,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
579,Zimbabwe Science News,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
580,Zimbabwe Veterinary Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
581,ACCORD Occasional Paper,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
582,The Accountant,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
583,Acta Academica,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
584,Acta Classica : Proceedings of the Classical Association of South Africa,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
585,Acta Commercii,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
586,Acta Criminologica : African Journal of Criminology & Victimology,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
587,Acta Germanica : German Studies in Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
588,Acta Juridica,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
589,Acta Patristica et Byzantina,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0,0,1
590,Acta Structilia : Journal for the Physical and Development Sciences,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
591,Advocate,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
592,"AFFRIKA Journal of Politics, Economics and Society",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
593,AFMA Matrix,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
594,Africa Conflict Monitor,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
595,Africa Conflict Monthly Monitor,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
596,Africa Country Benchmark Report (ACBR),SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
597,Africa Dialogue Monograph Series,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
598,Africa Education Review,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
599,Africa Institute Occasional Paper,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
600,Africa Journal of Comparative Constitutional Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
601,Africa Journal of Nursing and Midwifery ,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
602,Africa Journal of Public Sector Development and Governance,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
603,Africa Nazarene University Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
604,Africa's Public Service Delivery and Performance Review,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
605,Africa Growth Agenda,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
606,African Entomology,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
607,African Evaluation Journal,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
608,African Finance Journal,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
609,African Historical Review,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
610,African Human Rights Law Journal,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
611,African Invertebrates,SABINET Journal repository,0,1,0,1,1,1,1,0,1,0,0,1
612,African Journal for Physical Activity and Health Sciences (AJPHES),SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
613,"African Journal for Physical Health Education, Recreation and Dance",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
614,African Journal of Business and Economic Research,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
615,African Journal of Career Development,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0,0,1
616,African Journal of Democracy and Election Research,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
617,African Journal of Democracy and Governance,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
618,"African Journal of Development Studies (formerly AFFRIKA Journal of Politics, Economics and Society)",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
619,African Journal of Disability,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
620,African Journal of Employee Relations,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
621,African Journal of Farm Child and Youth Development,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
622,"African Journal of Gender, Society and Development (formerly Journal of Gender, Information and Development in Africa)",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
623,African Journal of Herpetology,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
624,The African Journal of Information and Communication,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
625,African Journal of Inter/Multidisciplinary Studies,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
626,African Journal of Laboratory Medicine,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
627,African Journal of Peace and Conflict Studies (formerly Ubuntu : Journal of Conflict and Social Transformation),SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
628,African Journal of Primary Health Care and Family Medicine,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
629,African Journal of Psychological Assessment,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0,0,1
630,African Journal of Public Affairs,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0,0,1
631,African Journal of Religion Philosophy and Culture,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
632,"African Journal of Research in Mathematics, Science and Technology Education",SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
633,African Journal of Rhetoric,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
634,"African Journal of Science, Technology, Innovation and Development",SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
635,African Journal of Sociological and Psychological Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
636,African Journal of Terrorism and Insurgency Research,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
637,African Journal of Thoracic and Critical Care Medicine,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0,0,1
638,African Journal of Wildlife Research,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
639,African Markets Overview,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
640,African Multidisciplinary Tax Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
641,African Natural History,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
642,African Performance Review,SABINET Journal repository,0,0,0,0,0,0,1,0,0,0,0,1
643,African Plant Protection,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
644,African Population Studies,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
645,African Printer,SABINET Journal repository,0,0,0,0,0,0,0,0,0,0,0,1
646,African Renaissance,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
647,African Review,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
648,African Security Review,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
649,African Urology,SABINET Journal repository,1,0,0,1,1,1,1,1,0,0,0,1
650,African Vision and Eye Health,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
651,African Yearbook of Rhetoric,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
652,African Yearbook on International Humanitarian Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
653,Africanus,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0,0,1
654,Agbiz Grain,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
655,Agrekon,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
656,Agricultural Journal of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
657,Agricultural Journal of the Cape of Good Hope,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
658,Agricultural Journal of the Union of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
659,Agriprobe,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0,0,1
660,Agroanimalia,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
661,Agrochemophysica,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
662,Akroterion,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
663,Alternation,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0,0,1
664,Analytical Reporter,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
665,Annals of the Ditsong National Museum of Natural History,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
666,Annals of the Natal Museum,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
667,Annals of the Transvaal Museum,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
668,Annual Proceedings of the South African Statistical Association Conference,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
669,Annual Survey of South African Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
670,Arms Control : Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
671,Ars nova,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0,0,1
672,Article 19,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
673,Article 4no,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
674,Auditing SA,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
675,BER : Architects and Quantity Surveyors' Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
676,BER : Building and Construction : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
677,BER : Building Contractors' Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
678,BER : Building Sub-Contractors' Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
679,BER : Capital Goods Industries Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
680,BER : Consumer Confidence Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
681,BER : Consumer Goods Industries Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
682,BER : Economic Prospects : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
683,BER : Economic Prospects : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
684,BER : Intermediate Goods Industries Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
685,BER : Manufacturing Survey : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
686,BER : Motor Trade Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
687,BER : Retail Sector Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
688,BER : Retail Survey : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
689,BER : Survey of Business Conditions in Building and Construction : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
690,BER : Survey of Business Conditions in Manufacturing : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
691,BER : Survey of Business Conditions in Retail : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
692,BER : Trends : Full Survey,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
693,BER : Wholesale Sector Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
694,"Boleswa Journal of Theology, Religion and Philosophy",SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
695,Boleswa Occasional Papers in Theology and Religion,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
696,Bothalia - African Biodiversity & Conservation,SABINET Journal repository,1,0,0,1,1,1,0,0,1,0,0,1
697,Botswana Institute of Administration & Commerce Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
698,Botswana Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
699,Botswana notes & Records,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
700,Building Women,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
701,Bulletin of Statistics,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
702,Business & Social Sciences Journal,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
703,Business Management Review,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0,0,1
704,Business Tax and Company Law Quarterly,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
705,Cabo,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
706,Cardiovascular Journal of Africa,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
707,Cardiovascular Journal of South Africa,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
708,Child Abuse Research in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
709,CHIPS,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
710,CIGFARO Journal (Chartered Institute of Government Finance Audit and Risk Officers),SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
711,Civil Engineer in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
712,Civil Engineering = Siviele Ingenieurswese,SABINET Journal repository,1,1,1,1,0,0,0,0,1,0,0,1
713,Clean Air Journal = Tydskrif vir Skoon Lug,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
714,Climate Summary of South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
715,CME : Your SA Journal of CPD,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
716,Coatings SA,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
717,Codicillus,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
718,Commonwealth Youth and Development,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
719,Communicare : Journal for Communication Sciences in Southern Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
720,Communicatio : South African Journal of Communication Theory and Research,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
721,Comparative and International Law Journal of Southern Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
722,Comparative and International Law Journal of Southern Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
723,Conflict Trends,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
724,Conspectus : The Journal of the South African Theological Seminary,SABINET Journal repository,1,0,0,1,1,0,0,0,1,0,0,1
725,The Constitution,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
726,Constitutional Court Review,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
727,CPEEL Monograph Series,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
728,Crime Research in South Africa,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
729,Critical Arts : A Journal of South-north Cultural and Media Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
730,Critical Studies in Teaching and Learning (CriSTaL),SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
731,CSIR Science Scope,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
732,Culna,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
733,Curationis,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
734,Current Allergy & Clinical Immunology,SABINET Journal repository,1,1,1,1,1,0,1,0,1,0,0,1
735,Dairy Mail Africa : Publication for the Dairy Industry in Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
736,The Dairy Mail,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
737,De Arte,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
738,De Jure,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0,0,1
739,De Rebus,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
740,DealMakers : South Africa's Corporate Finance Magazine,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
741,Dental Materials & Device Register,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
742,Development Finance Agenda (DEFA),SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
743,Diabetes Lifestyle,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
744,Die Kerkblad,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
745,Die Rooi Ras,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
746,Dinteria,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
747,Discourse,SABINET Journal repository,1,0,0,1,1,0,0,0,1,0,0,1
748,DIY Trade News,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
749,Durban Museum novitates,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
750,Dutch Reformed Theological Journal = Nederduitse Gereformeerde Teologiese Tydskrif,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
751,East African Geographical Review,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0,0,1
752,Economic History of Developing Regions,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
753,Ecquid novi,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
754,Educare,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
755,Education as Change,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
756,Educor Multidisciplinary Journal,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
757,Egyptian Journal of Immunology,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
758,Ekklesiastikos Pharos,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
759,Emergency Services SA,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
760,Emergency Services SA / Occupational Risk,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
761,Enterprise Risk,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
762,Environmental Management,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
763,Ergonomics SA : Journal of the Ergonomics Society of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
764,ESR Review : Economic and Social Rights in South Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
765,Evidence Based Summaries in Dentistry,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
766,Familia,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
767,FarmBiz,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
768,Farmer's Weekly,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
769,Farming in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
770,Farmlink,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
771,Farmlink Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
772,Finweek,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
773,Focus on Arms in Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
774,Food Manufacturing Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
775,French Studies in Southern Africa,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
776,Frontshop,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
777,Fundamina : A Journal of Legal History,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
778,Gender Questions,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
779,Ghanaian Journal of Economics,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
780,Global Media Journal - African Edition,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
781,Graphix,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
782,Historia,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
783,HR Future,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
784,HR Highway,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
785,HTS : Theological Studies,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
786,Human Capital Management,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
787,IFE PsychologIA : An International Journal,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
788,iilwandle zethu : Journal of Ocean Law and Governance in Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
789,Image & Text : a Journal for Design,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
790,Imbizo : International Journal of African Literary and Comparative Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
791,IMFO : Official Journal of the Institute of Municipal Finance Officers,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
792,IMIESA,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
793,In die Skriflig,SABINET Journal repository,1,0,0,1,0,0,1,1,0,0,0,1
794,The Independent Journal of Teaching and Learning,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
795,Indicator South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
796,Indilinga African Journal of Indigenous Knowledge Systems,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
797,Injury and Safety Monitor,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
798,Innovation : journal of appropriate librarianship and information work in Southern Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
799,Inside Mining,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
800,Institute for Security Studies Monographs,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
801,Institute for Security Studies Papers,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
802,Institute of African Studies Research Review,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
803,Interdisciplinary Journal of Education Research,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
804,Interim : Interdisciplinary Journal,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
805,International Journal for Religious Freedom,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
806,International Journal of African Renaissance Studies,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
807,International Journal of Educational Development in Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
808,International Retail and Marketing Review,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
809,International Review of Philanthropy and Social Investment,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
810,International SportMed Journal,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
811,Investment Analysts Journal,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
812,ISS Africa Report,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
813,ISS Central Africa Report,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
814,ISS East Africa Report,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
815,ISS north Africa Report,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
816,ISS Peace and Security Council Report,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
817,ISS Southern Africa Report,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
818,ISS West Africa Report,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
819,Jamba : Journal of Disaster Risk Studies,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
820,Journal for Christian Scholarship = Tydskrif vir Christelike Wetenskap,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
821,Journal for Contemporary History,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
